title,isAd,location,paymentOptions,highlightedAmenities,link,snippet_text,snippet_title,price_withTaxesAndCharges,price_currency,price_value,rating_score,rating_reviews,marketplace
Schoenhouse Berlin City Street,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho2508260512/schoenhouse-berlin-city-street-berlin-germany/,,,220,$,191,,,hotelscom
Hotel Pension Victoria,False,Berlin,,,https://www.hotels.com/ho358873/hotel-pension-victoria-berlin-germany/,,,86,$,77,7.2,72.0,hotelscom
limehome Berlin Neue Straße,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho623603456/limehome-berliner-neue-stra-e-berlin-germany/,,,162,$,138,8.0,9.0,hotelscom
TOWNHOUSE Berlin,False,Berlin,,Kitchen,https://www.hotels.com/ho222945/townhouse-berlin-berlin-germany/,,,119,$,106,8.8,514.0,hotelscom
Pension Parlamento,False,Prenzlauer Berg,Fully refundable,,https://www.hotels.com/ho1113342496/pension-parlamento-berlin-germany/,,,147,$,131,9.2,29.0,hotelscom
Pension Absolut Berlin,False,Prenzlauer Berg,Fully refundable,,https://www.hotels.com/ho317140/pension-absolut-berlin-berlin-germany/,,,168,$,150,8.8,76.0,hotelscom
Limehome Berlin Florastraße,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho974818112/limehome-berlin-florastra-e-berlin-germany/,,,205,$,176,8.4,9.0,hotelscom
Apartment Berlin Lottumstraße,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho580091/apartment-berlin-lottumstra-e-berlin-germany/,,,202,$,173,8.8,5.0,hotelscom
Die Botschaft,False,Berlin,,,https://www.hotels.com/ho655526176/die-botschaft-berlin-germany/,,,155,$,139,7.6,22.0,hotelscom
Limehome Berlin Leberstraße 6,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho623605088/limehome-berlin-leberstra-e-6-berlin-germany/,,,184,$,159,8.0,9.0,hotelscom
Schoenhouse Avenue by Limehome,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho368968/schoenhouse-by-limehome-berlin-germany/,,,220,$,190,8.8,263.0,hotelscom
Pension ABC,False,Tiergarten,,Breakfast included,https://www.hotels.com/ho345859/pension-abc-berlin-germany/,,,98,$,88,6.2,110.0,hotelscom
Pension 1A Apartment,False,Berlin,Fully refundable,,https://www.hotels.com/ho289405/pension-1a-apartment-berlin-germany/,,,152,$,136,7.8,119.0,hotelscom
Aparion Berlin,False,Lichterfelde,,Kitchen,https://www.hotels.com/ho645055360/aparion-berlin-berlin-germany/,,,184,$,164,8.6,83.0,hotelscom
Apartments Rosenthal Residence,False,Mitte,,Kitchen,https://www.hotels.com/ho484504/apartments-rosenthal-residence-berlin-germany/,,,273,$,243,8.8,291.0,hotelscom
Hotel Pension Bernstein,False,Berlin,Fully refundable,Breakfast included,https://www.hotels.com/ho333867/hotel-pension-bernstein-berlin-germany/,,,132,$,117,7.2,267.0,hotelscom
Hotel Pension Rheingold,False,Wilmersdorf,,,https://www.hotels.com/ho262073/hotel-pension-rheingold-berlin-germany/,,,79,$,71,6.8,240.0,hotelscom
Limehome Berlin Kopenhagener Straße,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho579031/limehome-berlin-kopenhagener-stra-e-berlin-germany/,,,297,$,214,8.8,39.0,hotelscom
Generator Berlin Alexanderplatz,False,Mitte,Fully refundable,,https://www.hotels.com/ho407760/one80-hostel-berlin-berlin-germany/,,,118,$,105,7.8,994.0,hotelscom
Apartments Berlin Bornimerstraße,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho749528160/apartments-berlin-bornimerstra-e-berlin-germany/,,,132,$,112,7.2,9.0,hotelscom
SANA Berlin Residence,False,Wilmersdorf,,Pool,https://www.hotels.com/ho1423979072/sana-berlin-residence-berlin-germany/,,,252,$,225,9.2,27.0,hotelscom
FLOWER´s by Limehome,False,Entire apartment,,,https://www.hotels.com/ho284793/flower-s-by-limehome-berlin-germany/,,,225,$,201,9.2,139.0,hotelscom
BENSIMON apartments Mitte / Moabit,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho710104288/bensimon-apartments-berlin-germany/,,,385,$,287,9.8,15.0,hotelscom
St Christopher's Berlin Alexanderplatz,False,Berlin,,,https://www.hotels.com/ho438361/st-christopher-s-berlin-alexanderplatz-berlin-germany/,,,123,$,110,8.2,152.0,hotelscom
Eckstein,False,Berlin,Fully refundable,Breakfast included,https://www.hotels.com/ho284929/eckstein-berlin-germany/,,,148,$,132,6.2,62.0,hotelscom
Limehome Berlin Chausseestrasse,False,Entire apartment,,,https://www.hotels.com/ho476116480/limehome-berlin-chausseestrasse-berlin-germany/,,,170,$,152,9.0,131.0,hotelscom
Three Little Pigs Hostel Berlin,False,Kreuzberg,,,https://www.hotels.com/ho398527/three-little-pigs-hostel-berlin-berlin-germany/,,,88,$,79,8.2,219.0,hotelscom
St Christopher's Berlin Mitte,False,Mitte,,,https://www.hotels.com/ho1227427200/st-christopher-s-berlin-mitte-berlin-germany/,,,124,$,111,8.0,45.0,hotelscom
Nena Hostel Berlin,False,Berlin,,,https://www.hotels.com/ho2655678816/nena-hostel-berlin-mitte-berlin-germany/,,,96,$,80,7.4,12.0,hotelscom
Apartments Berlin Aroser Allee,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho974823552/apartments-berlin-aroser-allee-berlin-germany/,,,179,$,153,8.2,9.0,hotelscom
The Circus Hostel,False,Mitte,,,https://www.hotels.com/ho477632/the-circus-hostel-berlin-germany/,,,109,$,97,9.0,320.0,hotelscom
HappyGoLucky Hotel & Hostel,False,Berlin,,,https://www.hotels.com/ho213112/happygolucky-hotel-hostel-berlin-germany/,,,86,$,77,7.4,235.0,hotelscom
NEOHOSTEL Berlin,False,Köpenick,,,https://www.hotels.com/ho1703553792/neohostel-berlin-berlin-germany/,,,64,$,57,6.0,26.0,hotelscom
enjoy hostel Berlin City West,False,Wilmersdorf,,,https://www.hotels.com/ho652658/enjoy-hostel-berlin-city-west-berlin-germany/,,,93,$,83,8.2,108.0,hotelscom
Sunflower Hostel Berlin,False,Friedrichshain,,,https://www.hotels.com/ho473812/sunflower-hostel-berlin-berlin-germany/,,,82,$,73,7.8,172.0,hotelscom
CLUB Lodges Berlin Mitte - Hostel,False,Mitte,,,https://www.hotels.com/ho558976/club-lodges-berlin-mitte-hostel-berlin-germany/,,,108,$,97,7.8,223.0,hotelscom
Kiez Hostel Berlin,False,Friedrichshain,Fully refundable,,https://www.hotels.com/ho511529/kiez-hostel-berlin-berlin-germany/,,,142,$,126,8.0,24.0,hotelscom
Pfefferbett Hostel Berlin,False,Prenzlauer Berg,,,https://www.hotels.com/ho493065/pfefferbett-hostel-berlin-berlin-germany/,,,97,$,87,9.0,78.0,hotelscom
Ballhaus Berlin Hostel,False,Mitte,,,https://www.hotels.com/ho669857/ballhaus-berlin-hostel-berlin-germany/,,,91,$,81,7.8,81.0,hotelscom
Generator Berlin Mitte,False,Mitte,,,https://www.hotels.com/ho422164/generator-berlin-mitte-berlin-germany/,,,93,$,83,8.2,819.0,hotelscom
Generator Berlin Prenzlauer Berg,False,Prenzlauer Berg,,,https://www.hotels.com/ho211436/generator-berlin-prenzlauer-berg-berlin-germany/,,,78,$,70,6.8,980.0,hotelscom
Industriepalast Hostel Berlin,False,Friedrichshain,,,https://www.hotels.com/ho366571/industriepalast-hostel-berlin-berlin-germany/,,,92,$,82,8.2,310.0,hotelscom
martas Gästehäuser Hauptbahnhof Berlin,False,Berlin,Fully refundable,,https://www.hotels.com/ho476574/jugendgastehaus-hauptbahnhof-berlin-germany/,,,83,$,74,8.2,252.0,hotelscom
Holi Hostel Hotel,False,Berlin,,,https://www.hotels.com/ho392780/holi-hostel-hotel-berlin-germany/,,,89,$,79,8.6,127.0,hotelscom
Singer109 Hostel,False,Mitte,,,https://www.hotels.com/ho126223552/singer109-hostel-berlin-germany/,,,115,$,99,8.6,48.0,hotelscom
Amstel House Hostel Berlin,False,Berlin,,,https://www.hotels.com/ho278295/amstel-house-hostel-berlin-berlin-germany/,,,118,$,105,7.8,360.0,hotelscom
Heart of Gold Hostel Berlin,False,Mitte,,,https://www.hotels.com/ho387452/heart-of-gold-hostel-berlin-berlin-germany/,,,43,$,19,8.2,194.0,hotelscom
Hostel 199,False,Prenzlauer Berg,Fully refundable,,https://www.hotels.com/ho680078432/hostel-199-berlin-germany/,,,149,$,133,,,hotelscom
Metropol Hostel Berlin,False,Kreuzberg,,Breakfast included,https://www.hotels.com/ho360098/metropol-hostel-berlin-berlin-germany/,,,66,$,29,6.4,165.0,hotelscom
BNB Hostel,False,Wilmersdorf,Fully refundable,,https://www.hotels.com/ho686046/bnb-hostel-berlin-germany/,,,90,$,71,3.6,10.0,hotelscom
Adina Apartment Hotel Berlin Hackescher Markt,False,Mitte,,Hot tub,https://www.hotels.com/ho357090/adina-apartment-hotel-berlin-hackescher-markt-berlin-germany/,,,173,$,154,9.2,1004.0,hotelscom
a&o Berlin Hauptbahnhof,False,Berlin,,,https://www.hotels.com/ho348947/a-o-berlin-hauptbahnhof-berlin-germany/,,,73,$,65,7.8,280.0,hotelscom
Seminaris CampusHotel Berlin,False,Berlin,Fully refundable,Breakfast included,https://www.hotels.com/ho309052/seminaris-campushotel-berlin-berlin-germany/,,,126,$,112,8.6,719.0,hotelscom
ARCOTEL Velvet Berlin,False,Mitte,,,https://www.hotels.com/ho216046/arcotel-velvet-berlin-berlin-germany/,,,118,$,110,8.4,987.0,hotelscom
a&o Berlin Friedrichshain,False,Friedrichshain,,,https://www.hotels.com/ho223419/a-o-berlin-friedrichshain-berlin-germany/,,,69,$,62,7.4,516.0,hotelscom
Airporthotel Berlin Adlershof,False,Adlershof,Fully refundable,,https://www.hotels.com/ho232983/airporthotel-berlin-adlershof-berlin-germany/,,,101,$,86,7.8,308.0,hotelscom
Adina Apartment Hotel Berlin Mitte,False,Mitte,,Pool,https://www.hotels.com/ho310294/adina-apartment-hotel-berlin-mitte-berlin-germany/,,,159,$,142,9.2,994.0,hotelscom
a&o Berlin Kolumbus,False,Berlin,,,https://www.hotels.com/ho197485/a-o-berlin-kolumbus-berlin-germany/,,,65,$,58,7.0,720.0,hotelscom
a&o Berlin Mitte,False,Mitte,,,https://www.hotels.com/ho224497/a-o-berlin-mitte-berlin-germany/,,,60,$,53,6.8,407.0,hotelscom
Come Inn Berlin Kurfürstendamm,False,Berlin,,,https://www.hotels.com/ho128167/come-inn-berlin-kurfurstendamm-berlin-germany/,,,106,$,95,8.0,992.0,hotelscom
Adina Apartment Hotel Berlin CheckPoint Charlie,False,Mitte,,Pool,https://www.hotels.com/ho260924/adina-apartment-hotel-berlin-checkpoint-charlie-berlin-germany/,,,148,$,132,9.2,987.0,hotelscom
Alper Hotel am Potsdamer Platz,False,Tiergarten,Fully refundable,,https://www.hotels.com/ho398831/alper-hotel-am-potsdamer-platz-berlin-germany/,,,109,$,97,5.2,185.0,hotelscom
arabel Design Apartments Berlin,False,Tiergarten,,Kitchen,https://www.hotels.com/ho474653/arabel-design-apartments-berlin-berlin-germany/,,,166,$,148,8.8,340.0,hotelscom
Mondrian Suites Hotel,False,Kreuzberg,,,https://www.hotels.com/ho768249088/mondrian-suites-hotel-berlin-germany/,,,158,$,135,6.0,2.0,hotelscom
Landhotel Diana,False,"Teltow, 8.61 mi from Berlin",Fully refundable,,https://www.hotels.com/ho629073/landhotel-diana-teltow-germany/,,,109,$,102,7.8,33.0,hotelscom
H24 Hoteltow,False,"Teltow, 8.64 mi from Berlin",,,https://www.hotels.com/ho678904/h24-hoteltow-teltow-germany/,,,88,$,82,7.8,197.0,hotelscom
GINN Hotel Berlin - Potsdam,False,"Teltow, 9 mi from Berlin",Fully refundable,,https://www.hotels.com/ho138050/ginn-hotel-berlin-potsdam-teltow-germany/,,,118,$,110,9.2,85.0,hotelscom
Hotel 4 Hufen,False,"Schoenefeld, 9.07 mi from Berlin",Fully refundable,Breakfast included,https://www.hotels.com/ho219222720/hotel-4-hufen-schoenefeld-germany/,,,108,$,101,8.4,38.0,hotelscom
Havellandhalle Resort,False,"Dallgow-Doeberitz, 9.36 mi from Berlin",Fully refundable,Pool,https://www.hotels.com/ho424830/havellandhalle-resort-dallgow-doeberitz-germany/,,,131,$,122,8.6,78.0,hotelscom
Motel Daria,False,"Hennigsdorf, 10.13 mi from Berlin",Fully refundable,,https://www.hotels.com/ho2232335232/motel-daria-hennigsdorf-germany/,,,107,$,100,8.0,4.0,hotelscom
B&B Hotel Berlin-Dreilinden,False,"Kleinmachnow, 10.19 mi from Berlin",,,https://www.hotels.com/ho1937522240/b-b-hotel-berlin-dreilinden-kleinmachnow-germany/,,,76,$,71,8.8,28.0,hotelscom
ibis Berlin Dreilinden,False,"Kleinmachnow, 10.23 mi from Berlin",,,https://www.hotels.com/ho193393/ibis-berlin-dreilinden-kleinmachnow-germany/,,,78,$,73,8.0,156.0,hotelscom
Motel Plus Schönefeld,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho758362912/motel-plus-schonefeld-schoenefeld-germany/,,,101,$,95,8.6,59.0,hotelscom
Hotel & Restaurant Diana,False,"Schönwalde-Glien, 10.6 mi from Berlin",Fully refundable,Breakfast included,https://www.hotels.com/ho884011648/hotel-restaurant-diana-schonwalde-glien-germany/,,,153,$,143,6.4,12.0,hotelscom
Wyndham Garden Hennigsdorf Berlin,False,"Hennigsdorf, 10.62 mi from Berlin","Reserve now, pay later",,https://www.hotels.com/ho178973/wyndham-garden-hennigsdorf-berlin-hennigsdorf-germany/,,,107,$,98,7.2,459.0,hotelscom
Campanile Berlin Brandenburg Airport,False,"Schoenefeld, 10.63 mi from Berlin",Fully refundable,Pool,https://www.hotels.com/ho756609792/campanile-berlin-brandenburg-airport-schoenefeld-germany/,,,78,$,73,8.2,217.0,hotelscom
"Holiday Inn Berlin Airport - Conference Centre, an IHG Hotel",False,"Schoenefeld, 10.66 mi from Berlin","Reserve now, pay later",,https://www.hotels.com/ho169970/holiday-inn-berlin-airport-conference-centre-schoenefeld-germany/,,,115,$,97,8.4,749.0,hotelscom
Best Western Premier Airporthotel Fontane BERlin,False,"Blankenfelde-Mahlow, 10.97 mi from Berlin",Fully refundable,,https://www.hotels.com/ho199902/best-western-premier-airporthotel-fontane-berlin-blankenfelde-mahlow-germany/,,,115,$,107,8.4,646.0,hotelscom
IntercityHotel Berlin - Brandenburg Airport,False,"Schoenefeld, 11.01 mi from Berlin",,,https://www.hotels.com/ho326753/intercityhotel-berlin-brandenburg-airport-schoenefeld-germany/,,,83,$,78,8.6,1006.0,hotelscom
Pension Schwalbenweg,False,"Schoenefeld, 11.14 mi from Berlin",Fully refundable,,https://www.hotels.com/ho499936/pension-schwalbenweg-schoenefeld-germany/,,,73,$,68,7.0,61.0,hotelscom
Hotel Amadeus ROYAL Berlin,False,"Hoppegarten, 12.01 mi from Berlin",,,https://www.hotels.com/ho484254/hotel-amadeus-royal-berlin-hoppegarten-germany/,,,88,$,82,6.6,183.0,hotelscom
Parkhotel Viktoria,False,"Velten, 12.05 mi from Berlin",,,https://www.hotels.com/ho982727168/parkhotel-viktoria-velten-germany/,,,102,$,95,7.2,54.0,hotelscom
Schloss Diedersdorf,False,"Grossbeeren, 12.09 mi from Berlin",Fully refundable,,https://www.hotels.com/ho766904480/schloss-diedersdorf-grossbeeren-germany/,,,146,$,137,8.4,39.0,hotelscom
Steigenberger Airport Hotel Berlin,False,"Schoenefeld, 12.39 mi from Berlin",,,https://www.hotels.com/ho1832440768/steigenberger-airport-hotel-berlin-schoenefeld-germany/,,,137,$,128,9.0,894.0,hotelscom
IntercityHotel Berlin Airport BER,False,"Schoenefeld, 12.41 mi from Berlin",,,https://www.hotels.com/ho2758416768/intercityhotel-berlin-airport-ber-berlin-germany/,,,104,$,97,9.2,66.0,hotelscom
Seminaris Avendi Hotel Potsdam,False,"Potsdam, 12.46 mi from Berlin",Fully refundable,,https://www.hotels.com/ho336459/seminaris-avendi-hotel-potsdam-potsdam-germany/,,,120,$,108,8.2,289.0,hotelscom
ipartment Berlin Airport,False,"Schoenefeld, 12.47 mi from Berlin",,Kitchen,https://www.hotels.com/ho2679500256/ipartment-berlin-airport-berlin-germany/,,,99,$,92,8.0,1.0,hotelscom
Moxy Berlin Airport,False,"Schoenefeld, 12.55 mi from Berlin",,,https://www.hotels.com/ho2811595936/moxy-berlin-airport-schoenefeld-germany/,,,83,$,78,9.0,82.0,hotelscom
B&B Hotel Berlin-Airport,False,"Schoenefeld, 12.56 mi from Berlin",Fully refundable,,https://www.hotels.com/ho1937663488/b-b-hotel-berlin-airport-schoenefeld-germany/,,,87,$,81,7.6,42.0,hotelscom
Pension am Filmpark,False,"Potsdam, 13.11 mi from Berlin",Fully refundable,,https://www.hotels.com/ho769962944/pension-am-filmpark-potsdam-germany/,,,107,$,95,8.6,22.0,hotelscom
Hotel Ascot-Bristol,False,"Potsdam, 13.32 mi from Berlin",Fully refundable,,https://www.hotels.com/ho233184/hotel-ascot-bristol-potsdam-germany/,,,78,$,70,8.4,683.0,hotelscom
Filmhotel Lili Marleen,False,"Potsdam, 13.66 mi from Berlin",,,https://www.hotels.com/ho336097/filmhotel-lili-marleen-potsdam-germany/,,,115,$,103,8.0,87.0,hotelscom
Apartment am Heiligen See,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho1004274944/apartment-am-heiligen-see-potsdam-germany/,,,183,$,163,10.0,2.0,hotelscom
Plaza Inn Ludwigsfelde Berlin Süd,False,"Ludwigsfelde, 14.27 mi from Berlin",,,https://www.hotels.com/ho186093/plaza-inn-ludwigsfelde-berlin-sud-ludwigsfelde-germany/,,,111,$,103,7.6,183.0,hotelscom
Apartmentpension am Stadtschloss,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho1410043744/apartmentpension-am-stadtschloss-potsdam-germany/,,,90,$,80,8.4,10.0,hotelscom
ibis budget Berlin Genshagen,False,"Ludwigsfelde, 14.32 mi from Berlin",Fully refundable,,https://www.hotels.com/ho571721/ibis-budget-berlin-genshagen-ludwigsfelde-germany/,,,64,$,60,7.4,95.0,hotelscom
Design Apartments Potsdam,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho1004252448/design-apartments-potsdam-potsdam-germany/,,,115,$,102,8.8,56.0,hotelscom
Hotel Barnimer Hof,False,"Wandlitz, 14.34 mi from Berlin",Fully refundable,,https://www.hotels.com/ho1286429856/hotel-barnimer-hof-wandlitz-germany/,,,115,$,108,8.6,20.0,hotelscom
Comfort Hotel Bernau,False,"Bernau bei Berlin, 14.38 mi from Berlin",Fully refundable,,https://www.hotels.com/ho512055/comfort-hotel-bernau-bernau-bei-berlin-germany/,,,103,$,97,8.2,53.0,hotelscom
Dorint Sanssouci Berlin/Potsdam,False,"Potsdam, 14.39 mi from Berlin",Fully refundable,Pool,https://www.hotels.com/ho135244/dorint-sanssouci-berlin-potsdam-potsdam-germany/,,,124,$,111,8.4,938.0,hotelscom
B&B Hotel Potsdam,False,"Potsdam, 14.49 mi from Berlin",,,https://www.hotels.com/ho1932603040/b-b-hotel-potsdam-potsdam-germany/,,,75,$,67,8.2,47.0,hotelscom
NH Potsdam,False,"Potsdam, 14.51 mi from Berlin",,,https://www.hotels.com/ho127284/nh-potsdam-potsdam-germany/,,,104,$,93,8.2,637.0,hotelscom
"Holiday Inn Express and Suites Potsdam, an IHG Hotel",False,"Potsdam, 14.53 mi from Berlin",,Breakfast included,https://www.hotels.com/ho2229228064/holiday-inn-express-and-suites-potsdam-an-ihg-hotel-potsdam-germany/,,,87,$,78,7.8,66.0,hotelscom
Altstadt Pension Potsdam,False,Entire apartment,,,https://www.hotels.com/ho1410037120/altstadt-pension-potsdam-potsdam-germany/,,,98,$,87,7.2,9.0,hotelscom
Van der Valk Hotel Berlin Brandenburg,False,"Blankenfelde-Mahlow, 14.66 mi from Berlin",,Pool,https://www.hotels.com/ho215449/van-der-valk-hotel-berlin-brandenburg-blankenfelde-mahlow-germany/,,,127,$,119,8.6,304.0,hotelscom
Hotel am Jägertor Potsdam,False,"Potsdam, 14.69 mi from Berlin",Fully refundable,,https://www.hotels.com/ho17847168/hotel-am-jagertor-potsdam-potsdam-germany/,,,170,$,152,8.8,165.0,hotelscom
Altstadt Hotel,False,"Potsdam, 14.69 mi from Berlin",,,https://www.hotels.com/ho547201/altstadt-hotel-potsdam-germany/,,,148,$,132,8.0,52.0,hotelscom
Apartments am Weinberg,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho1472745824/apartments-am-weinberg-potsdam-germany/,,,191,$,171,10.0,1.0,hotelscom
Apartment Lindenstraße,False,Entire apartment,,,https://www.hotels.com/ho1004351808/apartment-lindenstra-e-potsdam-germany/,,,257,$,229,7.6,5.0,hotelscom
Mercure Hotel Potsdam City,False,"Potsdam, 14.74 mi from Berlin",Fully refundable,,https://www.hotels.com/ho182867/mercure-hotel-potsdam-city-potsdam-germany/,,,98,$,87,8.0,383.0,hotelscom
the niu Amity,False,"Potsdam, 14.82 mi from Berlin","Reserve now, pay later",,https://www.hotels.com/ho2347979744/the-niu-amity-potsdam-germany/,,,91,$,81,8.6,20.0,hotelscom
H24 Stadthotel Bernau,False,"Bernau bei Berlin, 14.86 mi from Berlin",,,https://www.hotels.com/ho2425152864/h24-stadthotel-bernau-bernau-bei-berlin-germany/,,,169,$,140,8.0,5.0,hotelscom
Design Apartments City,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho1915518752/design-apartments-city-potsdam-germany/,,,156,$,140,,,hotelscom
Hotel Villa Monte Vino,False,"Potsdam, 14.88 mi from Berlin",Fully refundable,,https://www.hotels.com/ho300207/hotel-villa-monte-vino-potsdam-germany/,,,208,$,185,9.6,93.0,hotelscom
Design Apartments - Villa Arnim,False,Entire apartment,Fully refundable,,https://www.hotels.com/ho2032589600/design-apartments-villa-arnim-potsdam-germany/,,,147,$,131,9.6,5.0,hotelscom
Hotel Brandenburger Tor Potsdam,False,"Potsdam, 14.96 mi from Berlin",,,https://www.hotels.com/ho375925/hotel-brandenburger-tor-potsdam-potsdam-germany/,,,137,$,123,9.0,161.0,hotelscom
Hotel am Luisenplatz,False,"Potsdam, 15.03 mi from Berlin",,,https://www.hotels.com/ho212132/hotel-am-luisenplatz-potsdam-germany/,,,168,$,150,8.4,213.0,hotelscom
MAXX Hotel Sanssouci Potsdam,False,"Potsdam, 15.03 mi from Berlin",,,https://www.hotels.com/ho184477/maxx-by-steigenberger-sanssouci-potsdam-potsdam-germany/,,,96,$,86,8.2,916.0,hotelscom
Bed & Breakfast am Luisenplatz,False,"Potsdam, 15.05 mi from Berlin",Fully refundable,,https://www.hotels.com/ho1479501728/bed-breakfast-am-luisenplatz-potsdam-germany/,,,164,$,146,9.2,29.0,hotelscom
Hotel am Katharinenholz Potsdam,False,"Potsdam, 15.36 mi from Berlin",Fully refundable,,https://www.hotels.com/ho666862720/hotel-am-katharinenholz-potsdam-potsdam-germany/,,,164,$,146,9.6,28.0,hotelscom
